accuracy,latency,memory_usage,predictions,avg_latency,std_latency,avg_memory_usage,model_type,attention_type,training_time,activation_type
1.0,"[0.42198141479492185, 0.028009471893310548, 0.031235071182250978, 0.006085663795471191]","[74.5322265625, 74.533203125, 74.533203125, 74.478515625]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.12182790541648865,0.17356364522199216,74.519287109375,standard,standard,27.476901054382324,
1.0,"[0.6986434936523438, 0.24531149291992188, 0.2538926086425781, 0.03386265563964844]","[74.53515625, 74.5361328125, 74.5361328125, 74.4814453125]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.30792756271362304,0.24218332954429744,74.522216796875,quadratic_inhibitor (relu),quadratic_inhibitor,57.843796730041504,relu
